#, Part, Where to buy in Czech Republic, Where to buy Worldwide, Cost
1x, Arduino YÚN, https://goo.gl/WWNbBz, https://goo.gl/zxKTJE, €68.20
1x, Arduino TFT LCD Display, https://goo.gl/UJ5RQx, https://goo.gl/QMAZtW, €20.90
1x, Rotary Encoder KY-040, https://goo.gl/HBKuvv, https://goo.gl/aWtrAF, €0.50
1x, Buzzer YL-44, https://goo.gl/Eo4EEE, https://goo.gl/2WzGYW, €0.43
1x, Microswitch TC-0108-T, https://goo.gl/ncyT34, https://goo.gl/iff8Z7, €0.13
1x, Red Switch P-PB303B, https://goo.gl/mJq2Rl, https://goo.gl/SXAANZ, €0.45
2x, Green Super Flux LED 913PG2C, https://goo.gl/e5RzAD, https://goo.gl/xWg07e, €0.40
2x, Optocoupler BPC-817C, https://goo.gl/SSWsRn, https://goo.gl/BFo84T, €0.30
2x, Resistor 220 Ohm, -, -
2x, Resistor 10 Kiloohm, -, -
1x, Prototype Shield with Small Breadboard, https://goo.gl/Pvyxjw, https://goo.gl/QiYypK, €1.00
1x, Stripboard Single Side PCB 5x7cm, https://goo.gl/zTTTuU, https://goo.gl/bP6dKk, €1.26
1x, RJ-11 Connector Box WEBP 6-4 LP 833-045, https://goo.gl/p4YbLA, https://goo.gl/kE05f0, €0.25
1x, Insulated wire on coil 04mm/25m Blue, https://goo.gl/AbCSSo, https://goo.gl/lk7bCX, €2.20
1x, Breadboard Connectors PROSKIT OP-E351, https://goo.gl/OA5zfP, https://goo.gl/8ECFLD, €12.29
1x, Female Headers Row 40, https://goo.gl/Ps4XRd, https://goo.gl/bsTJQJ, €0.34
1x, Male Headers Row 20 Straight, https://goo.gl/Dz5Kux, https://goo.gl/MwZm9u, €0.23
1x, Male Headers Row 20 90-deg, https://goo.gl/94bT0B, https://goo.gl/N3jrON, €0.34
1x, Jumper Cables M-M M-F F-F 40pcs 10cm, https://goo.gl/WffkiF, https://goo.gl/9HJ0Yd, €3.45
1x, Jumper Cables M-M M-F F-F 40pcs 20cm, https://goo.gl/buLGLN, https://goo.gl/QxP5vw, €2.17
,,, Total, €114.84
